ID	Cited Article	normalized_id	s2_paperId	year	publicationVenue	journal	citationCount	_error
5597	https://doi.org/10.48550/arXiv.2406.11546	5328b32c265241256ae1a113cb4e2d65d5ab045d	5328b32c265241256ae1a113cb4e2d65d5ab045d	2024	Annual Meeting of the Association for Computational Linguistics		25	
5579	https://doi.org/10.48550/arXiv.2502.18148	DOI:10.48550/arXiv.2502.18148						no_entry
5746	https://www.semanticscholar.org/paper/b50c7c60416e334440e18832a9ee9b6fddf636d2	b50c7c60416e334440e18832a9ee9b6fddf636d2	b50c7c60416e334440e18832a9ee9b6fddf636d2	2020	Pacific Asia Conference on Language, Information and Computation	ArXiv	30	
5749	https://doi.org/10.48550/arXiv.2410.15522	7b4c8f700f9c79cfa63c0bd7b133c58dae0c0894	7b4c8f700f9c79cfa63c0bd7b133c58dae0c0894	2024	Annual Meeting of the Association for Computational Linguistics		38	
5750	https://doi.org/10.1109/CVPR.2017.127	778ce81457383bd5e3fdb11b145ded202ebb4970	778ce81457383bd5e3fdb11b145ded202ebb4970	2016	Computer Vision and Pattern Recognition	2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR)	432	
5754	https://doi.org/10.1109/KSE.2018.8573337	2bac8a94090719bc3d94b02711b7999d4b91db57	2bac8a94090719bc3d94b02711b7999d4b91db57	2018	International Conference on Knowledge and Systems Engineering	2018 10th International Conference on Knowledge and Systems Engineering (KSE)	66	
5758	https://doi.org/10.1016/j.dib.2024.110192	09c3a1b79832a4e517b122a99e4eb00e9aa1bf0d	09c3a1b79832a4e517b122a99e4eb00e9aa1bf0d	2024	Data in Brief	Data in Brief	2	
5759	https://doi.org/10.1109/IWBIS.2017.8275098	cb2398c5dfa27cf984f7348bb9fa86942335508e	cb2398c5dfa27cf984f7348bb9fa86942335508e	2017	International Workshop on Big Data and Information Security	2017 International Workshop on Big Data and Information Security (IWBIS)	10	
5669	https://doi.org/10.18653/v1/W19-3506	ad3b9d3136037eeaade13580050cbb16640aa084	ad3b9d3136037eeaade13580050cbb16640aa084	2019		Proceedings of the Third Workshop on Abusive Language Online	219	
5605	https://www.semanticscholar.org/paper/330d74432b0f5171bdd900ea9093c6864a023b2a	330d74432b0f5171bdd900ea9093c6864a023b2a	330d74432b0f5171bdd900ea9093c6864a023b2a	2019	arXiv.org	ArXiv	3	
5768	https://doi.org/10.18653/v1/2020.aacl-main.60	c63f803a248809d16c63cfbe89cfff0ea0e9a3c0	c63f803a248809d16c63cfbe89cfff0ea0e9a3c0	2020			50	
5769	https://doi.org/10.48550/arXiv.2205.06266	c08c2fd7b269bd9d6c1162adc3b059cdf21d40a6	c08c2fd7b269bd9d6c1162adc3b059cdf21d40a6	2022	North American Chapter of the Association for Computational Linguistics	ArXiv	153	
5770	https://doi.org/10.48550/arXiv.2309.06085	0e09e8c08b9d0a8720768b054371945e4bbba862	0e09e8c08b9d0a8720768b054371945e4bbba862	2023	arXiv.org	ArXiv	11	
5780	https://www.semanticscholar.org/paper/25ca4a36df2955b345634b5f8a6b6bb66a774b3c	25ca4a36df2955b345634b5f8a6b6bb66a774b3c	25ca4a36df2955b345634b5f8a6b6bb66a774b3c	2012	International Conference on Language Resources and Evaluation		1965	
5784	https://doi.org/10.3115/1690299.1690312	9f668d335efb613bf3f26e34b12fd3e4437a5404	9f668d335efb613bf3f26e34b12fd3e4437a5404	2009			7	
5714	https://doi.org/10.18653/v1/W15-3302	6a028acd37246ced61310c7d30a083e455affede	6a028acd37246ced61310c7d30a083e455affede	2015			15	
5787	https://doi.org/10.48550/arXiv.2205.04651	385ed1c09120a7af662d5d0acec9f3e3bb1e2851	385ed1c09120a7af662d5d0acec9f3e3bb1e2851	2022	Pacific Asia Conference on Language, Information and Computation	ArXiv	13	
5646	https://www.semanticscholar.org/paper/a70fd36953d654cd585046c43815fa9ce5187172	a70fd36953d654cd585046c43815fa9ce5187172	a70fd36953d654cd585046c43815fa9ce5187172	2020	Workshop on Building and Using Comparable Corpora		15	
5793	https://doi.org/10.1109/ICTS.2019.8850995	371f4a644ae30b10f5f20b3e396e173358180737	371f4a644ae30b10f5f20b3e396e173358180737	2019		2019 12th International Conference on Information & Communication Technology and System (ICTS)	4	
5800	https://doi.org/10.1007/978-3-031-23793-5_34	ddbdacbbc29a89a16ba94e865fbc131b7fcd0cac	ddbdacbbc29a89a16ba94e865fbc131b7fcd0cac	2018	Conference on Intelligent Text Processing and Computational Linguistics		14	
5803	https://doi.org/10.48550/arXiv.2502.06298	0d8495b1ba7caca5132f33d3a909f86e350aaa5f	0d8495b1ba7caca5132f33d3a909f86e350aaa5f	2025	North American Chapter of the Association for Computational Linguistics		8	
5806	https://doi.org/10.1109/ICACSIS.2017.8355036	566aa4d4786c774bbbdd929a361d667373186f7b	566aa4d4786c774bbbdd929a361d667373186f7b	2017	International Conference on Advanced Computer Science and Information System	2017 International Conference on Advanced Computer Science and Information Systems (ICACSIS)	8	
5811	https://doi.org/10.1109/ACCESS.2023.3307712	ddadc53b0194fde0dfbd97fa8b9fdfd404ba7930	ddadc53b0194fde0dfbd97fa8b9fdfd404ba7930	2023	IEEE Access	IEEE Access	6	
5814	https://www.semanticscholar.org/paper/574453271bf9dbce7df005e9e1c2e0bb77eb1c6d	574453271bf9dbce7df005e9e1c2e0bb77eb1c6d	574453271bf9dbce7df005e9e1c2e0bb77eb1c6d	2018	Pacific Asia Conference on Language, Information and Computation		100	
5816	https://doi.org/10.18653/v1/N19-1014	f828b3c378434b8945c4e21472e7e2efa908b6eb	f828b3c378434b8945c4e21472e7e2efa908b6eb	2019	North American Chapter of the Association for Computational Linguistics	ArXiv	220	
5819	https://doi.org/10.52549/ijeei.v10i1.3565	05ae546867c85ab0524406393706da3e743e113a	05ae546867c85ab0524406393706da3e743e113a	2022	Indonesian Journal of Electrical Engineering and Informatics (IJEEI)	Indonesian Journal of Electrical Engineering and Informatics (IJEEI)	11	
5820	https://doi.org/10.1109/CENIM51130.2020.9297929	4c027f3e6e235929b159c4b9590f88bf4866780c	4c027f3e6e235929b159c4b9590f88bf4866780c	2020	CENiM	2020 International Conference on Computer Engineering, Network, and Intelligent Multimedia (CENIM)	15	
5826	https://doi.org/10.18653/v1/N18-2084	7b29f45df975ed1e4c3864b6ab4483f11086aa76	7b29f45df975ed1e4c3864b6ab4483f11086aa76	2018	North American Chapter of the Association for Computational Linguistics	ArXiv	352	
5828	https://www.semanticscholar.org/paper/da19f6f033257a7831f53f238e37b4e5768e9f43	da19f6f033257a7831f53f238e37b4e5768e9f43	da19f6f033257a7831f53f238e37b4e5768e9f43	2006			46	
5829	https://www.semanticscholar.org/paper/278bdf4ed974541265b0208eac9f421cd5486000	278bdf4ed974541265b0208eac9f421cd5486000	278bdf4ed974541265b0208eac9f421cd5486000	2013			4	
5830	https://doi.org/10.47065/josyc.v4i4.3905	b8da711f21377ca7cb4ecc9d5ba229eab5803d26	b8da711f21377ca7cb4ecc9d5ba229eab5803d26	2023	Journal of Computer System and Informatics (JoSYC)	Journal of Computer System and Informatics (JoSYC)	2	
5837	https://doi.org/10.1109/iccsai53272.2021.9609746	31e5c93f5b0b734aa93f733ffb071439c78d6a9f	31e5c93f5b0b734aa93f733ffb071439c78d6a9f	2021	International Conference on Computer Science and Artificial Intelligence	2021 1st International Conference on Computer Science and Artificial Intelligence (ICCSAI)	14	
5843	https://www.semanticscholar.org/paper/e95ad36302f92f45abe169fbc5185e55407bcc34	e95ad36302f92f45abe169fbc5185e55407bcc34	e95ad36302f92f45abe169fbc5185e55407bcc34	2013	Annual Meeting of the Association for Computational Linguistics		578	
5846	https://doi.org/10.18653/V1/2020.COLING-MAIN.66	1109d62ebd2b29a7dc148bc30dd6cfc803a63dec	1109d62ebd2b29a7dc148bc30dd6cfc803a63dec	2020	International Conference on Computational Linguistics		296	
5849	https://doi.org/10.3115/v1/P15-1113	2288985b24b95be22eb25bfba8a63e77d9c4115f	2288985b24b95be22eb25bfba8a63e77d9c4115f	2015	Annual Meeting of the Association for Computational Linguistics		71	
5850	https://www.semanticscholar.org/paper/3e795f8d94f552f2abeb09bcadec480f9e8a4586	3e795f8d94f552f2abeb09bcadec480f9e8a4586	3e795f8d94f552f2abeb09bcadec480f9e8a4586	2020	arXiv.org	ArXiv	4	
