Year,Catalog_ID,Title,Author(s),LDC Catalog No.,ISBN,ISLRN,DOI,Release Date,Member Year(s),DCMI Type(s),Sample Type,Sample Rate,Data Source(s),Project(s),Application(s),Language(s),Language ID(s),License(s),Online Documentation,Licensing Instructions,Citation,URL
2025,LDC2025S03,MATERIAL Kazakh-English Language Pack,"Gulnar Bekkozhanova, Aric  Bills, Sarra Chouder, Vanessa Jaralve, Cassian Corey, Eyal Dubinski, Corinna Ellis, Paul Gibby, Michael Kazi, Julie Lam, Hanh Le, Nicolas Malyska, Giorgia Marcucci, Sarah Marvi, Sara McConnell, Jennifer Melot, Alyssa Mensch, Michelle Morrison, Shelley Paget, Katerina Ramizo, Frederick Richardson, Annette Roberts, Carl Rubino, Gulnar Sarseke, Zharas Taubayev",LDC2025S03,,798-646-667-992-4,https://doi.org/10.35111/k4ey-kj75,"April 15, 2025",2025,"Sound, Text",alaw,8000,telephone conversations,,"information retrieval, speech recognition","English, Kazakh","eng, kaz",MATERIAL Kazakh-English Agreement (For-Profit)MATERIAL Kazakh-English Agreement (Non-Member)MATERIAL Kazakh-English Agreement (Not-For-Profit),LDC2025S03 Documents,"Subscription & Standard Members, and Non-Members","Bekkozhanova, Gulnar, et al. MATERIAL Kazakh-English Language Pack LDC2025S03. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025S03
2025,LDC2025S07,Mixer 6 - CHiME 8 Transcribed Calls and Interviews,"Matthew Wiesner, Desh Raj, Matthew Maciejewski, Chloe Haviland, Samuele Cornell, Eleanor Chodroff, Sanjeev Khudanpur, Jack Godfrey",LDC2025S07,,017-424-674-662-6,https://doi.org/10.35111/pk0y-qp29,"August 15, 2025",2025,"Sound, Text",16-bit FLAC,16000,"microphone conversation, telephone conversations",,"speaker identification, speech recognition",English,eng,LDC User Agreement for Non-Members,LDC2025S07 Documents,"Subscription & Standard Members, and Non-Members","Wiesner, Matthew, et al. Mixer 6 - CHiME 8 Transcribed Calls and Interviews LDC2025S07. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025S07
2025,LDC2025S08,Mixer 7 English Speech,"Linda Brandschain, Kevin Walker, David Graff",LDC2025S08,,049-114-400-143-8,https://doi.org/10.35111/1m6c-rr16,"September 15, 2025",2025,Sound,"pcm, ulaw","8000, 16000","microphone conversation, microphone speech, telephone conversations","MIXER, NIST SRE",speaker identification,English,eng,,LDC2025S08 Documents,"Subscription & Standard Members, and Non-Members","Brandschain, Linda, Kevin Walker, and David Graff. Mixer 7 English Speech LDC2025S08. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025S08
2025,LDC2025T09,Penn Parsed Corpora of Historical English Second Release,"Anthony Kroch, Beatrice Santorini, Ann Taylor, Ariel Diertani",LDC2025T09,,642-943-085-925-3,https://doi.org/10.35111/0dez-9k12,"July 15, 2025",2025,"Software, Text",,,"fiction, journal entries, non-fiction, religious texts",,"historical linguistics, machine learning, parsing, part of speech tagging","English, Middle English (1100-1500)","eng, enm",Penn Parsed Corpora of Historical English Second Release Agreement,LDC2025T09 Documents,"Subscription & Standard Members, and Non-Members","Kroch, Anthony, et al. Penn Parsed Corpora of Historical English Second Release LDC2025T09. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T09
2025,LDC2025T03,The Xi’an Multi-Language Learner Corpus,"Xiao Zhang, Ling Zhang, Tian Dang, Yuanzhao Feng, Yujing Ji, Xiaohui Jiang, Zhewen Kang, Yan Lu, Wen Nie, Hanyu Ren, Canjun Wang, Jiayi Wang, Yu Wang, Chen Wu, Mei Wu, Tingting Xu, Ruhai Yang, Kai Zhao, Ran Zhao, Quanjie Zhou, Lei Zhu",LDC2025T03,,615-404-265-320-6,https://doi.org/r333-vr13,"March 17, 2025",2025,Text,,,essays,,"cross-linguistic comparison, language learning","Arabic, Filipino, English, French, German, Hindi, Indonesian, Korean, Malay, Persian, Russian, Swahili, Thai, Turkish, Urdu","ara, fil, eng, fra, deu, hin, ind, kor, msa, fas, rus, swa, tha, tur, urd",LDC User Agreement for Non-Members,LDC2025T03 Documents,"Subscription & Standard Members, and Non-Members","Zhang, Xiao, et al. The Xi’an Multi-Language Learner Corpus LDC2025T03. Web Download. Philadelphia: Linguistic Data Consortium, 2025.",https://catalog.ldc.upenn.edu/LDC2025T03
2024,LDC2024T11,Abstract Meaning Representation 3.0 - Machine Translations,Bram Vanroy,LDC2024T11,,737-010-881-982-1,https://doi.org/10.35111/b94n-1y25,"December 16, 2024",2024,Text,,,"broadcast conversation, discussion forum, newswire, web collection, weblogs","ACE, BOLT, DEFT, GALE, LORELEI",machine translation,"Dutch, Spanish, Irish","nld, spa, gle",LDC User Agreement for Non-Members,LDC2024T11 Documents,"Subscription & Standard Members, and Non-Members","Vanroy, Bram. Abstract Meaning Representation 3.0 - Machine Translations LDC2024T11. Web Download. Philadelphia: Linguistic Data Consortium, 2024.",https://catalog.ldc.upenn.edu/LDC2024T11
2024,LDC2024T02,AIDA Scenario 1 Practice Topic Annotation,"Jennifer Tracey, Stephanie Strassel, Jeremy Getman, Ann Bies, Kira Griffitt, David Graff, Christopher Caruso",LDC2024T02,,462-429-870-532-3,https://doi.org/10.35111/ffya-kx44,"February 15, 2024",2024,Text,,,"discussion forum, newswire, web collection, weblogs",AIDA,"entity extraction, information extraction","English, Russian, Ukrainian","eng, rus, ukr",LDC User Agreement for Non-Members,LDC2024T02 Documents,"Subscription & Standard Members, and Non-Members","Tracey, Jennifer, et al. AIDA Scenario 1 Practice Topic Annotation LDC2024T02. Web Download. Philadelphia: Linguistic Data Consortium, 2024.",https://catalog.ldc.upenn.edu/LDC2024T02
2024,LDC2024T06,AIDA Scenario 2 Practice Topic Annotation,"Jennifer Tracey, Stephanie Strassel, Jeremy Getman, Ann Bies, Kira Griffitt, David Graff, Christopher Caruso",LDC2024T06,,410-297-940-352-7,https://doi.org/10.35111/pjgb-fd31,"June 17, 2024",2024,Text,,,"discussion forum, newswire, web collection, weblogs",AIDA,"entity extraction, information extraction","English, Russian, Spanish","eng, rus, spa",LDC User Agreement for Non-Members,LDC2024T06 Documents,"Subscription & Standard Members, and Non-Members","Tracey, Jennifer, et al. AIDA Scenario 2 Practice Topic Annotation LDC2024T06. Web Download. Philadelphia: Linguistic Data Consortium, 2024.",https://catalog.ldc.upenn.edu/LDC2024T06
2024,LDC2024T04,AIDA Scenario 2 Practice Topic Source Data,"Jennifer Tracey, Stephanie Strassel, Jeremy Getman, Ann Bies, Kira Griffitt, David Graff, Christopher Caruso",LDC2024T04,,484-106-854-383-0,https://doi.org/10.35111/0hze-0459,"April 15, 2024",2024,"MovingImage, Software, Sound, StillImage, Text",mpeg,44100 Hz,"discussion forum, newswire, web collection, weblogs",AIDA,"entity extraction, information extraction","English, Spanish, Russian","eng, spa, rus",LDC User Agreement for Non-Members,LDC2024T04 Documents,"Subscription & Standard Members, and Non-Members","Tracey, Jennifer, et al. AIDA Scenario 2 Practice Topic Source Data LDC2024T04. Web Download. Philadelphia: Linguistic Data Consortium, 2024.",https://catalog.ldc.upenn.edu/LDC2024T04
2024,LDC2024T05,Automatic Content Extraction for Portuguese,"Luís Filipe Cunha, Purificação Silvano, Ricardo Campos, Alípio Jorge",LDC2024T05,,802-512-969-698-4,https://doi.org/10.35111/8gr4-tn81,"May 15, 2024",2024,Text,,,"broadcast conversation, broadcast news, newsgroups, telephone conversations, weblogs",ACE,automatic content extraction,Portuguese,por,LDC User Agreement for Non-Members,LDC2024T05 Documents,"Subscription & Standard Members, and Non-Members","Cunha, Luís Filipe, et al. Automatic Content Extraction for Portuguese LDC2024T05. Web Download. Philadelphia: Linguistic Data Consortium, 2024.",https://catalog.ldc.upenn.edu/LDC2024T05
